#?rerun filter ra dec type sh sw name
pdr3_wide HSC-G 0.148777066642485 -0.5294901735587073 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_0_degrees
pdr3_wide HSC-G 0.1487726355704469 -0.5294395261735545 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_10_degrees
pdr3_wide HSC-G 0.1487594769902142 -0.5293904176835706 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_20_degrees
pdr3_wide HSC-G 0.1487379907185888 -0.529344340225374 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_30_degrees
pdr3_wide HSC-G 0.1487088296050613 -0.5293026938392154 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_40_degrees
pdr3_wide HSC-G 0.1486728796953102 -0.5292667439294643 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_50_degrees
pdr3_wide HSC-G 0.1486312333091516 -0.5292375828159368 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_60_degrees
pdr3_wide HSC-G 0.148585155850955 -0.5292160965443115 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_70_degrees
pdr3_wide HSC-G 0.1485360473609711 -0.5292029379640788 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_80_degrees
pdr3_wide HSC-G 0.1484853999758183 -0.5291985068920406 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_90_degrees
pdr3_wide HSC-G 0.1484347525906655 -0.5292029379640788 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_100_degrees
pdr3_wide HSC-G 0.1483856441006816 -0.5292160965443115 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_110_degrees
pdr3_wide HSC-G 0.148339566642485 -0.5292375828159368 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_120_degrees
pdr3_wide HSC-G 0.1482979202563264 -0.5292667439294643 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_130_degrees
pdr3_wide HSC-G 0.1482619703465753 -0.5293026938392154 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_140_degrees
pdr3_wide HSC-G 0.1482328092330478 -0.529344340225374 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_150_degrees
pdr3_wide HSC-G 0.1482113229614224 -0.5293904176835706 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_160_degrees
pdr3_wide HSC-G 0.1481981643811897 -0.5294395261735545 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_170_degrees
pdr3_wide HSC-G 0.1481937333091516 -0.5294901735587073 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_180_degrees
pdr3_wide HSC-G 0.1481981643811897 -0.5295408209438601 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_190_degrees
pdr3_wide HSC-G 0.1482113229614224 -0.529589929433844 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_200_degrees
pdr3_wide HSC-G 0.1482328092330478 -0.5296360068920406 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_210_degrees
pdr3_wide HSC-G 0.1482619703465753 -0.5296776532781993 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_220_degrees
pdr3_wide HSC-G 0.1482979202563264 -0.5297136031879504 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_230_degrees
pdr3_wide HSC-G 0.148339566642485 -0.5297427643014778 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_240_degrees
pdr3_wide HSC-G 0.1483856441006816 -0.5297642505731032 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_250_degrees
pdr3_wide HSC-G 0.1484347525906655 -0.5297774091533358 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_260_degrees
pdr3_wide HSC-G 0.1484853999758183 -0.529781840225374 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_270_degrees
pdr3_wide HSC-G 0.1485360473609711 -0.5297774091533358 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_280_degrees
pdr3_wide HSC-G 0.148585155850955 -0.5297642505731032 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_290_degrees
pdr3_wide HSC-G 0.1486312333091516 -0.5297427643014778 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_300_degrees
pdr3_wide HSC-G 0.1486728796953102 -0.5297136031879504 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_310_degrees
pdr3_wide HSC-G 0.1487088296050613 -0.5296776532781993 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_320_degrees
pdr3_wide HSC-G 0.1487379907185888 -0.5296360068920406 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_330_degrees
pdr3_wide HSC-G 0.1487594769902142 -0.529589929433844 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_340_degrees
pdr3_wide HSC-G 0.1487726355704469 -0.5295408209438601 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_350_degrees
