#?rerun filter ra dec type sh sw name
pdr3_wide HSC-G 0.1488187333091516 -0.5294901735587073 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_0_degrees
pdr3_wide HSC-G 0.1488136692268224 -0.5294322908328183 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_10_degrees
pdr3_wide HSC-G 0.1487986308494136 -0.5293761668442655 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_20_degrees
pdr3_wide HSC-G 0.1487740751104131 -0.5293235068920407 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_30_degrees
pdr3_wide HSC-G 0.1487407481235246 -0.5292759110221451 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_40_degrees
pdr3_wide HSC-G 0.1486996625123805 -0.529234825411001 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_50_degrees
pdr3_wide HSC-G 0.148652066642485 -0.5292014984241125 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_60_degrees
pdr3_wide HSC-G 0.1485994066902602 -0.5291769426851121 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_70_degrees
pdr3_wide HSC-G 0.1485432827017073 -0.5291619043077033 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_80_degrees
pdr3_wide HSC-G 0.1484853999758183 -0.529156840225374 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_90_degrees
pdr3_wide HSC-G 0.1484275172499293 -0.5291619043077033 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_100_degrees
pdr3_wide HSC-G 0.1483713932613764 -0.5291769426851121 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_110_degrees
pdr3_wide HSC-G 0.1483187333091516 -0.5292014984241125 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_120_degrees
pdr3_wide HSC-G 0.1482711374392561 -0.529234825411001 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_130_degrees
pdr3_wide HSC-G 0.148230051828112 -0.5292759110221451 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_140_degrees
pdr3_wide HSC-G 0.1481967248412235 -0.5293235068920407 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_150_degrees
pdr3_wide HSC-G 0.148172169102223 -0.5293761668442655 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_160_degrees
pdr3_wide HSC-G 0.1481571307248142 -0.5294322908328183 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_170_degrees
pdr3_wide HSC-G 0.148152066642485 -0.5294901735587073 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_180_degrees
pdr3_wide HSC-G 0.1481571307248142 -0.5295480562845963 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_190_degrees
pdr3_wide HSC-G 0.148172169102223 -0.5296041802731491 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_200_degrees
pdr3_wide HSC-G 0.1481967248412235 -0.529656840225374 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_210_degrees
pdr3_wide HSC-G 0.148230051828112 -0.5297044360952695 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_220_degrees
pdr3_wide HSC-G 0.1482711374392561 -0.5297455217064136 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_230_degrees
pdr3_wide HSC-G 0.1483187333091516 -0.5297788486933022 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_240_degrees
pdr3_wide HSC-G 0.1483713932613764 -0.5298034044323026 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_250_degrees
pdr3_wide HSC-G 0.1484275172499293 -0.5298184428097114 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_260_degrees
pdr3_wide HSC-G 0.1484853999758183 -0.5298235068920406 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_270_degrees
pdr3_wide HSC-G 0.1485432827017073 -0.5298184428097114 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_280_degrees
pdr3_wide HSC-G 0.1485994066902602 -0.5298034044323026 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_290_degrees
pdr3_wide HSC-G 0.148652066642485 -0.5297788486933022 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_300_degrees
pdr3_wide HSC-G 0.1486996625123805 -0.5297455217064136 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_310_degrees
pdr3_wide HSC-G 0.1487407481235246 -0.5297044360952695 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_320_degrees
pdr3_wide HSC-G 0.1487740751104131 -0.529656840225374 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_330_degrees
pdr3_wide HSC-G 0.1487986308494136 -0.5296041802731491 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_340_degrees
pdr3_wide HSC-G 0.1488136692268224 -0.5295480562845963 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_350_degrees
