ra,dec,name
188.94023763564135,-2.057305655970944,ra_188.94023763564135_dec_-2.057305655970944
188.9491850040624,-2.0483582875498914,ra_188.94023763564135_dec_-2.0483582875498914
188.95813237248345,-2.039410919128839,ra_188.94023763564135_dec_-2.039410919128839
188.96707974090452,-2.030463550707786,ra_188.94023763564135_dec_-2.030463550707786
188.97602710932557,-2.021516182286734,ra_188.94023763564135_dec_-2.021516182286734
188.98497447774662,-2.012568813865681,ra_188.94023763564135_dec_-2.012568813865681
188.99392184616767,-2.003621445444628,ra_188.94023763564135_dec_-2.003621445444628
189.0028692145887,-1.9946740770235758,ra_188.94023763564135_dec_-1.9946740770235758
189.01181658300976,-1.9857267086025232,ra_188.94023763564135_dec_-1.9857267086025232
189.02076395143084,-1.9767793401814704,ra_188.94023763564135_dec_-1.9767793401814704
189.02971131985188,-1.9678319717604178,ra_188.94023763564135_dec_-1.9678319717604178
189.03865868827293,-1.9588846033393652,ra_188.94023763564135_dec_-1.9588846033393652
189.04760605669398,-1.9499372349183126,ra_188.94023763564135_dec_-1.9499372349183126
189.05655342511503,-1.94098986649726,ra_188.94023763564135_dec_-1.94098986649726
189.0655007935361,-1.9320424980762074,ra_188.94023763564135_dec_-1.9320424980762074
189.07444816195715,-1.9230951296551546,ra_188.94023763564135_dec_-1.9230951296551546
189.0833955303782,-1.914147761234102,ra_188.94023763564135_dec_-1.914147761234102
189.09234289879925,-1.9052003928130494,ra_188.94023763564135_dec_-1.9052003928130494
189.1012902672203,-1.8962530243919968,ra_188.94023763564135_dec_-1.8962530243919968
189.11023763564134,-1.8873056559709442,ra_188.94023763564135_dec_-1.8873056559709442
189.11918500406242,-1.8783582875498914,ra_188.94023763564135_dec_-1.8783582875498914
189.12813237248346,-1.8694109191288388,ra_188.94023763564135_dec_-1.8694109191288388
189.1370797409045,-1.8604635507077862,ra_188.94023763564135_dec_-1.8604635507077862
189.14602710932556,-1.8515161822867336,ra_188.94023763564135_dec_-1.8515161822867336
189.1549744777466,-1.842568813865681,ra_188.94023763564135_dec_-1.842568813865681
189.16392184616765,-1.8336214454446282,ra_188.94023763564135_dec_-1.8336214454446282
189.17286921458873,-1.8246740770235756,ra_188.94023763564135_dec_-1.8246740770235756
189.18181658300978,-1.815726708602523,ra_188.94023763564135_dec_-1.815726708602523
189.19076395143082,-1.8067793401814705,ra_188.94023763564135_dec_-1.8067793401814705
189.19971131985187,-1.7978319717604179,ra_188.94023763564135_dec_-1.7978319717604179
189.20865868827292,-1.788884603339365,ra_188.94023763564135_dec_-1.788884603339365
189.217606056694,-1.7799372349183127,ra_188.94023763564135_dec_-1.7799372349183127
189.22655342511504,-1.7709898664972599,ra_188.94023763564135_dec_-1.7709898664972599
189.2355007935361,-1.7620424980762073,ra_188.94023763564135_dec_-1.7620424980762073
189.24444816195714,-1.7530951296551547,ra_188.94023763564135_dec_-1.7530951296551547
189.25339553037819,-1.744147761234102,ra_188.94023763564135_dec_-1.744147761234102
189.26234289879923,-1.7352003928130495,ra_188.94023763564135_dec_-1.7352003928130495
189.2712902672203,-1.7262530243919967,ra_188.94023763564135_dec_-1.7262530243919967
189.28023763564136,-1.717305655970944,ra_188.94023763564135_dec_-1.717305655970944
189.2891850040624,-1.7083582875498915,ra_188.94023763564135_dec_-1.7083582875498915
189.29813237248345,-1.699410919128839,ra_188.94023763564135_dec_-1.699410919128839
189.3070797409045,-1.6904635507077863,ra_188.94023763564135_dec_-1.6904635507077863
189.31602710932557,-1.6815161822867335,ra_188.94023763564135_dec_-1.6815161822867335
189.32497447774662,-1.672568813865681,ra_188.94023763564135_dec_-1.672568813865681
189.33392184616767,-1.6636214454446283,ra_188.94023763564135_dec_-1.6636214454446283
189.34286921458872,-1.6546740770235757,ra_188.94023763564135_dec_-1.6546740770235757
189.35181658300976,-1.6457267086025231,ra_188.94023763564135_dec_-1.6457267086025231
189.3607639514308,-1.6367793401814703,ra_188.94023763564135_dec_-1.6367793401814703
189.3697113198519,-1.627831971760418,ra_188.94023763564135_dec_-1.627831971760418
189.37865868827294,-1.6188846033393651,ra_188.94023763564135_dec_-1.6188846033393651
189.38760605669398,-1.6099372349183125,ra_188.94023763564135_dec_-1.6099372349183125
189.39655342511503,-1.60098986649726,ra_188.94023763564135_dec_-1.60098986649726
189.40550079353608,-1.5920424980762073,ra_188.94023763564135_dec_-1.5920424980762073
189.41444816195713,-1.5830951296551548,ra_188.94023763564135_dec_-1.5830951296551548
189.4233955303782,-1.574147761234102,ra_188.94023763564135_dec_-1.574147761234102
189.43234289879925,-1.5652003928130493,ra_188.94023763564135_dec_-1.5652003928130493
189.4412902672203,-1.5562530243919968,ra_188.94023763564135_dec_-1.5562530243919968
