#?rerun filter ra dec type sh sw name
pdr3_wide HSC-G 0.1489298444202627 -0.5294901735587073 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_0_degrees
pdr3_wide HSC-G 0.1489230923104904 -0.5294129965908554 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_10_degrees
pdr3_wide HSC-G 0.148903041140612 -0.5293381646061182 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_20_degrees
pdr3_wide HSC-G 0.148870300155278 -0.5292679513364851 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_30_degrees
pdr3_wide HSC-G 0.1488258641727601 -0.5292044901766244 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_40_degrees
pdr3_wide HSC-G 0.1487710833579012 -0.5291497093617655 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_50_degrees
pdr3_wide HSC-G 0.1487076221980405 -0.5291052733792475 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_60_degrees
pdr3_wide HSC-G 0.1486374089284075 -0.5290725323939136 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_70_degrees
pdr3_wide HSC-G 0.1485625769436703 -0.5290524812240353 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_80_degrees
pdr3_wide HSC-G 0.1484853999758183 -0.5290457291142628 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_90_degrees
pdr3_wide HSC-G 0.1484082230079663 -0.5290524812240353 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_100_degrees
pdr3_wide HSC-G 0.1483333910232291 -0.5290725323939136 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_110_degrees
pdr3_wide HSC-G 0.1482631777535961 -0.5291052733792475 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_120_degrees
pdr3_wide HSC-G 0.1481997165937354 -0.5291497093617655 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_130_degrees
pdr3_wide HSC-G 0.1481449357788765 -0.5292044901766244 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_140_degrees
pdr3_wide HSC-G 0.1481004997963586 -0.5292679513364851 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_150_degrees
pdr3_wide HSC-G 0.1480677588110246 -0.5293381646061182 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_160_degrees
pdr3_wide HSC-G 0.1480477076411462 -0.5294129965908554 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_170_degrees
pdr3_wide HSC-G 0.1480409555313739 -0.5294901735587073 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_180_degrees
pdr3_wide HSC-G 0.1480477076411462 -0.5295673505265592 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_190_degrees
pdr3_wide HSC-G 0.1480677588110246 -0.5296421825112965 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_200_degrees
pdr3_wide HSC-G 0.1481004997963586 -0.5297123957809295 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_210_degrees
pdr3_wide HSC-G 0.1481449357788765 -0.5297758569407902 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_220_degrees
pdr3_wide HSC-G 0.1481997165937354 -0.5298306377556491 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_230_degrees
pdr3_wide HSC-G 0.1482631777535961 -0.5298750737381671 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_240_degrees
pdr3_wide HSC-G 0.1483333910232291 -0.529907814723501 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_250_degrees
pdr3_wide HSC-G 0.1484082230079663 -0.5299278658933794 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_260_degrees
pdr3_wide HSC-G 0.1484853999758183 -0.5299346180031518 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_270_degrees
pdr3_wide HSC-G 0.1485625769436703 -0.5299278658933794 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_280_degrees
pdr3_wide HSC-G 0.1486374089284075 -0.529907814723501 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_290_degrees
pdr3_wide HSC-G 0.1487076221980405 -0.5298750737381671 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_300_degrees
pdr3_wide HSC-G 0.1487710833579012 -0.5298306377556491 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_310_degrees
pdr3_wide HSC-G 0.1488258641727601 -0.5297758569407902 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_320_degrees
pdr3_wide HSC-G 0.148870300155278 -0.5297123957809295 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_330_degrees
pdr3_wide HSC-G 0.148903041140612 -0.5296421825112965 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_340_degrees
pdr3_wide HSC-G 0.1489230923104904 -0.5295673505265592 coadd 16asec 16asec QSO_000035.59-003146.1_HSC_HSC-G_rotated_350_degrees
